# 
# QCancer(Lung)-2011 data tables.
# Copyright 2011 ClinRisk Ltd. 
#  
# This work is licenced under the Creative Commons Attribution-NoDerivs 2.0 UK: England & Wales License. 
# To view a copy of this licence, visit http://creativecommons.org/licenses/by-nd/2.0/uk/ or send a letter to Creative Commons, 171 Second Street, Suite 300, San Francisco, California 94105, USA.
# 
# 
sex1,_t,basehaz_death_0_30,basehaz_event_0_30,timeyears
1,11.646817,.0000115,0,11
1,11.649555,.0000115,0,11
1,11.655031,.0000115,0,11
1,11.663244,.0000115,0,11
1,11.671458,.0000115,0,11
1,11.682409,.0000115,0,11
1,11.693361,.0000115,0,11
1,11.712526,.0000115,0,11
1,11.728953,.0000115,0,11
1,11.731691,0,5.79e-06,11
1,11.734428,.0000115,0,11
1,11.739904,.0000115,0,11
1,11.761807,.0000115,0,11
1,11.770021,.000012,0,11
1,11.778234,.000012,0,11
1,11.78371,.000012,0,11
1,11.794661,.000012,0,11
1,11.797399,.000012,0,11
1,11.800137,.000012,0,11
1,11.805613,.000012,0,11
1,11.80835,.0000239,0,11
1,11.813826,.000012,0,11
1,11.819302,.000012,0,11
1,11.838467,.000012,0,11
1,11.857632,.000012,0,11
1,11.86037,.000012,0,11
1,11.882272,.000012,0,11
1,11.904175,.000012,0,11
1,11.909651,.000012,0,11
1,11.931554,.000012,0,11
1,11.945243,.000024,0,11
1,11.953457,.000012,0,11
1,11.967146,.000012,0,11
1,11.972621,.000012,0,11
1,11.991786,.000012,0,11
1,12.024641,.0000119,0,12
1,12.041068,.0000119,0,12
1,12.073922,.0000119,0,12
1,12.07666,.0000119,0,12
1,12.082136,.0000119,0,12
1,12.093087,.0000119,0,12
1,12.104038,.0000118,0,12
1,12.109514,.0000237,0,12
1,12.120465,.0000118,0,12
1,12.123203,.0000118,0,12
1,12.125941,.0000118,0,12
1,12.131417,.0000118,0,12
1,12.136893,.0000118,0,12
1,12.13963,.0000118,0,12
1,12.167009,.0000119,0,12
1,12.180698,.0000119,0,12
1,12.194387,.0000119,0,12
1,12.199863,.0000119,0,12
1,12.202601,.0000119,0,12
1,12.229979,.0000119,0,12
1,12.232717,.0000119,0,12
1,12.238193,.0000238,0,12
1,12.25462,.0000119,0,12
1,12.260096,.0000119,0,12
1,12.262834,.0000119,0,12
1,12.268309,.0000119,0,12
1,12.284736,.0000119,0,12
1,12.312115,.0000119,0,12
1,12.336756,.0000238,0,12
1,12.342231,0,5.88e-06,12
1,12.344969,.0000119,0,12
1,12.353183,.0000119,0,12
1,12.355921,.0000119,0,12
1,12.36961,0,5.88e-06,12
1,12.372348,.0000119,0,12
1,12.375086,.0000119,0,12
1,12.377823,.0000119,0,12
1,12.405202,.0000119,0,12
1,12.424367,.0000238,0,12
1,12.435318,.0000119,0,12
1,12.438056,.0000119,0,12
1,12.443532,.0000119,0,12
1,12.44627,.0000119,0,12
1,12.454483,.0000119,0,12
1,12.457221,.0000119,0,12
1,12.459959,.0000238,0,12
1,12.473648,.0000119,0,12
1,12.487337,.0000119,0,12
1,12.490075,.0000119,0,12
1,12.492813,.0000119,0,12
1,12.50924,.000012,0,12
1,12.514716,.0000119,0,12
1,12.533881,.0000119,0,12
1,12.555784,.000012,0,12
1,12.558522,.000012,0,12
1,12.561259,.000012,0,12
